sku,infoDate,competitionType,competitor,competitorSku,label,price,currency,priceUnit,unitOfMeasure,priceType,priority,comments,country,source
MB-0009,2016-01-27T14:28:41,Online,rc-toy.de,,90125. 10 - Graupner Stoßdämpfergehäuse und Kolbenstangen,8.8,EUR,1,1,Online,,,de,idealo
MB-0009,2016-01-27T14:28:41,Online,d-edition.de,,Graupner Stoßdämpfergehäuse und Kolbenstangen,8.89,EUR,1,1,Online,,,de,idealo
MB-0009,2016-01-27T14:28:41,Online,eBay - rc-toy,,90125. 10 -- Graupner Stoßd&au-ml;-mpfergeh&au-ml;use und Kolbenstangen,8.99,EUR,1,1,Online,,,de,idealo
MB-0010,2016-01-27T14:28:41,Online,rc-toy.de,,1315. 25. 21 - Graupner 3-Blatt Luftschraube25x21 cm,8.4,EUR,1,1,Online,,,de,idealo
MB-0010,2016-01-27T14:28:41,Online,d-edition.de,,Graupner Luftschraube 3 Blatt25x21 cm,8.49,EUR,1,1,Online,,,de,idealo
MB-0010,2016-01-27T14:28:41,Online,eBay - rc-toy,,1315. 25. 21 -- Graupner 3--Blatt Luftschraube25x21 c-m,9.09,EUR,1,1,Online,,,de,idealo
MB-0010,2016-01-27T14:28:41,Online,Amazon Marketplace - CMC Versand,,Graupner 1315. 25. 21 -- 3--Blatt Luftschraube 25 X 21c-m,11.48,EUR,1,1,Online,,,de,idealo
MB-0011,2016-01-27T14:28:41,Online,Amazon,,Graupner 90190. 44 -- Lagerschalen f&uu-ml;r die Schwingenachse,3.03,EUR,1,1,Online,,,de,idealo
MB-0011,2016-01-27T14:28:41,Online,d-edition.de,,Graupner Lagerschalen für dieSchwingenachse,8.25,EUR,1,1,Online,,,de,idealo
MB-0011,2016-01-27T14:28:41,Online,rc-toy.de,,90190. 044 Graupner MRX5 Lagerschalen für die Schwingenachse,8.25,EUR,1,1,Online,,,de,idealo
MB-0011,2016-01-27T14:28:41,Online,eBay - rc-toy,,90190. 044 Graupner MRX5 Lagerschalen f&uu-ml;r die Schwingenachse,8.99,EUR,1,1,Online,,,de,idealo
MB-0011,2016-01-27T14:28:41,Online,Amazon Marketplace - CMC Versand,,Graupner 90190. 44 -- Lagerschalen f&uu-ml;r die Schwingenachse,11.48,EUR,1,1,Online,,,de,idealo
MB-0012,2016-01-27T14:28:41,Online,exoneit.de,,"3 kleine und große Tannen Faller Anlagenbau Bäume, Büsche, Zäune Spur H0",9.13,EUR,1,1,Online,,,de,idealo
MB-0013,2016-01-27T14:28:41,Online,Amazon,,Graupner 90190. 13 -- D&au-ml;-mpfer-kolbenstangen vorne,3.3,EUR,1,1,Online,,,de,idealo
MB-0013,2016-01-27T14:28:41,Online,d-edition.de,,Graupner Dämpferkolbenstangenvorne,8.25,EUR,1,1,Online,,,de,idealo
MB-0013,2016-01-27T14:28:41,Online,rc-toy.de,,90190. 013 Graupner MRX5 Dämpferkolbenstangen vorne,8.25,EUR,1,1,Online,,,de,idealo
MB-0013,2016-01-27T14:28:41,Online,eBay - rc-toy,,90190. 013 Graupner MRX5 D&au-ml;-mpfer-kolbenstangen vorne,8.99,EUR,1,1,Online,,,de,idealo
